"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"f:\DiscountDevs\AerospaceJam2023\ATcommand\ATcommand.ino", "C++", 17, 0, 0, 4, 21
"f:\DiscountDevs\AerospaceJam2023\IrRemote\IrRemote.ino", "C++", 22, 0, 13, 12, 47
"f:\DiscountDevs\AerospaceJam2023\IrRemote\PinDefinitionsAndMore.h", "C++", 214, 0, 72, 37, 323
"f:\DiscountDevs\AerospaceJam2023\LightController\LightController.ino", "C++", 109, 0, 20, 30, 159
"f:\DiscountDevs\AerospaceJam2023\MainCode\MainCode.ino", "C++", 128, 0, 16, 15, 159
"f:\DiscountDevs\AerospaceJam2023\MainCode\PinDefinitionsAndMore.h", "C++", 214, 0, 72, 37, 323
"f:\DiscountDevs\AerospaceJam2023\README.md", "Markdown", 0, 7, 0, 4, 11
"f:\DiscountDevs\AerospaceJam2023\RemoteControlBox\PinDefinitionsAndMore.h", "C++", 214, 0, 72, 37, 323
"f:\DiscountDevs\AerospaceJam2023\RemoteControlBox\RemoteControlBox.ino", "C++", 64, 0, 69, 20, 153
"Total", "-", 982, 7, 334, 196, 1519
